Identifier ,objectid,object_location,,creator,publisher,date,date-is-approximate?,format,type,display_template,subject,description,image_small,image_thumb,image_alt_text
1920_bc_fed_3_1_info_on_new_bunks_built_in_jr,jrnph1920-40_001,/objects/1920_bc_fed_3_1_info_on_new_bunks_built_in_jr.pdf,News of the Lumber Workers Industrial Unit of the O.B.U.,The British Colombia Federationist,The British Colombia Federationist,1920-01-28,,application/pdf,news article,pdf,Logging,,/objects/small/1920_bc_fed_3_1_info_on_new_bunks_built_in_jr_sm.jpg,/objects/thumbs/1920_bc_fed_3_1_info_on_new_bunks_built_in_jr_th.jpg,
1920_bcfed_3_1_major_complaints_about_jr_camp_and_description_of_shitty_work,jrnph1920-40_002,/objects/1920_bcfed_3_1_major_complaints_about_jr_camp_and_description_of_shitty_work.pdf,Jordan River Cathels Sorenson Camp,The British Colombia Federationist,The British Colombia Federationist,1920-03-26,,application/pdf,news article,pdf,Settlement,,,,
1920_bcfed_3_1_point_no_point_camp_describes_only_reachable_by_coach_and_poor_conditions_at_the_camp_boss_anti_union,jrnph1920-40_003,/objects/1920_bcfed_3_1_point_no_point_camp_describes_only_reachable_by_coach_and_poor_conditions_at_the_camp_boss_anti_union.pdf,Milligan Bro's Camp,The British Colombia Federationist,The British Colombia Federationist,1920-04-09,,application/pdf,news article,pdf,Settlement,,,,
1920_bcfed_3_3_camp_defending_it_operation_and_the_work_done,jrnph1920-40_004,/objects/1920_bcfed_3_3_camp_defending_it_operation_and_the_work_done.pdf,Lumber and Camp Workers Industrial Unit of the O.B.U.,The British Colombia Federationist,The British Colombia Federationist,1920-04-16,,application/pdf,news article,pdf,Hydroelectric,,,,
1920_bcfed_3_3_mroe_drama_abotu_jr_camp_tied_into_lwiu_union_disputes_of_1919_22,jrnph1920-40_005,/objects/1920_bcfed_3_3_mroe_drama_abotu_jr_camp_tied_into_lwiu_union_disputes_of_1919_22.pdf,Bessborough Day,The British Colombia Federationist,The British Colombia Federationist,1920-04-30,,application/pdf,news article,pdf,Hydroelectric,,,,
1928_nelsondaily_10_4_bcel_to_add_2000_hp_to_jr,jrnph1920-40_006,/objects/1928_nelsondaily_10_4_bcel_to_add_2000_hp_to_jr.pdf,Add Enormously to Present Power,The Daily News,The Daily News,1928-11-14,,application/pdf,news article,pdf,Hydroelectric,,,,
1929_cumberland_1_3_feature_about_bcel_infrastructure_for_van_borad_of_trade_lots_of_info,jrnph1920-40_007,/objects/1929_cumberland_1_3_feature_about_bcel_infrastructure_for_van_borad_of_trade_lots_of_info.pdf,Jordon River Plant Of B.C. Electric Railway Visited By B. of T. Members,Cumberland Islander,Cumberland Islander,1929-07-19,,application/pdf,news article,pdf,Hydroelectric,,,,
1929_cumberlandis_1_3_exmaining_jr_for_potential_development,jrnph1920-40_008,/objects/1929_cumberlandis_1_3_exmaining_jr_for_potential_development.pdf,Largest Water Power On Vancouver Island Will Be Examined for Development Of Power for Industries,Cumberland Islander,Cumberland Islander,1929-07-19,,application/pdf,news article,pdf,Hydroelectric,,,,
the_victoria_daily_times_1930_12_06_16,jrnph1920-40_010,/objects/the_victoria_daily_times_1930_12_06_16.pdf,Jordan River Now Developed to Limit,Victoria Daily TImes,Victoria Daily TImes,1930-12-06,,application/pdf,news article,pdf,Hydroelectric; Railway,,,,
,,,,,,,,,,,,,,,
ame_2015exploration_in_british_columbia_2015_in_review_ame,jr-np-m-general_001,/objects/ame_2015exploration_in_british_columbia_2015_in_review_ame.pdf,Exploration in British Columbia,Association for Mineral Exploration (AME),Association for Mineral Exploration (AME),2015-12-01,,application/pdf,blopost/website,pdf,Mining,,/objects/small/ame_2015exploration_in_british_columbia_2015_in_review_ame_sm.jpg,/objects/thumbs/ame_2015exploration_in_british_columbia_2015_in_review_ame_th.jpg,
barazzuol_and _stewart_2003_historic_mine_sites_in_bc_bcgs_of2003_03,jr-np-m-general_002,/objects/barazzuol_and _stewart_2003_historic_mine_sites_in_bc_bcgs_of2003_03.pdf,Historic Mine Sites in British,Lisa N. Barazzuol and Gregg G. Stewart,Ministry of Energy and Mines Mining Division,2003,,application/pdf,pdf,pdf,Mining; Mining Sites,,/objects/small/barazzuol_and _stewart_2003_historic_mine_sites_in_bc_bcgs_of2003_03_sm.jpg,/objects/thumbs/barazzuol_and _stewart_2003_historic_mine_sites_in_bc_bcgs_of2003_03_th.jpg,
bc_contaminated_mine_site_map_jan_13_2021_low_resolution,jr-np-m-general_003,/objects/bc_contaminated_mine_site_map_jan_13_2021_low_resolution.pdf,BC Contaminated Mine Sites,,International Network for Acid Prevention,2021,,application/pdf,pdf,pdf,Mining; Mining Sites; Map; Contamination; Pollution,,/objects/small/bc_contaminated_mine_site_map_jan_13_2021_low_resolution_sm.jpg,/objects/thumbs/bc_contaminated_mine_site_map_jan_13_2021_low_resolution_th.jpg,
bcmlt_2023_dirty_dozen_report_2023_web,jr-np-m-general_004,/objects/bcmlt_2023_dirty_dozen_report_2023_web.pdf,B.C.’s top polluting and risky mines,,University of Victoria Environmental Law Centre,2023,,application/pdf,report,pdf,Mining; Pollution; Mining Sites,,/objects/small/bcmlt_2023_dirty_dozen_report_2023_web_sm.jpg,/objects/thumbs/bcmlt_2023_dirty_dozen_report_2023_web_th.jpg,
bcmlr_closure_reclamation_abandoned_mines,jr-np-m-general_005,/objects/bcmlr_closure_reclamation_abandoned_mines.pdf,"Closure, Reclamation & Abandoned Mines",,University of Victoria Environmental Law Centre,,,application/pdf,report,pdf,Mining; Reclamation; Abandoned Mines,,/objects/small/bcmlr_closure_reclamation_abandoned_mines_sm.jpg,/objects/thumbs/bcmlr_closure_reclamation_abandoned_mines_th.jpg,
factual_record_bc_mining_submission_98_4_ffr_en,jr-np-m-general_006,/objects/factual_record_bc_mining_submission_98_4_ffr_en.pdf,Factual Record BC Mining Submission,,,,,application/pdf,pdf,pdf,Mining,,/objects/small/factual_record_bc_mining_submission_98_4_ffr_en_sm.jpg,/objects/thumbs/factual_record_bc_mining_submission_98_4_ffr_en_th.jpg,
northern_miner_2012_a_century_of_discovery_ame_bc ,jr-np-m-general_007,/objects/northern_miner_2012_a_century_of_discovery_ame_bc .pdf,A Century of Discovery,Doug Donnelly,ASSOCIATION FOR MINERAL EXPLORATION BRITISH COLUMBIA,2012,,application/pdf,Magazine,pdf,Mining; Mining Industry Publication,,/objects/small/northern_miner_2012_a_century_of_discovery_ame_bc _sm.jpg,/objects/thumbs/northern_miner_2012_a_century_of_discovery_ame_bc _th.jpg,
ross_lindeman_and_kirste_2019_characterization_of_as_and_se_in_pyrites_form_two_historic_mines_sunro_sullivan,jr-np-m-general_008,/objects/ross_lindeman_and_kirste_2019_characterization_of_as_and_se_in_pyrites_form_two_historic_mines_sunro_sullivan.pdf,Characterization study of As and Se in pyrites from two historic mines in British Columbia,Jocelyn Ross-Lindeman; Dirk Kirste,EDP Sciences,2019,,application/pdf,Study,pdf,Mining; Mineralogy,,/objects/small/ross_lindeman_and_kirste_2019_characterization_of_as_and_se_in_pyrites_form_two_historic_mines_sunro_sullivan_sm.jpg,/objects/thumbs/ross_lindeman_and_kirste_2019_characterization_of_as_and_se_in_pyrites_form_two_historic_mines_sunro_sullivan_th.jpg,
shearman_2002_mining_watch_canada_submarine_tailings_disposal,jr-np-m-general_009,/objects/shearman_2002_mining_watch_canada_submarine_tailings_disposal.pdf,Mining’s Problem with Waste,Catherine Coumans,MiningWatch Canada,2002,,application/pdf,pdf,pdf,Mining; Pollution; Contamination,,/objects/small/shearman_2002_mining_watch_canada_submarine_tailings_disposal_sm.jpg,/objects/thumbs/shearman_2002_mining_watch_canada_submarine_tailings_disposal_th.jpg,
soehl_1993_impact_assessment_of_metal_mines_in_bc_a_manuscript_report_prepared_for_cearc_en107_3_136_1993_eng,jr-np-m-general_010,/objects/soehl_1993_impact_assessment_of_metal_mines_in_bc_a_manuscript_report_prepared_for_cearc_en107_3_136_1993_eng.pdf,IMPACT ASSESSMENT OF METAL MINES IN BRITISH COLUMBIA: AN EVALUATION,Thomas Soehl,"The Canadian Environmental Assessment
Research Council",1993-07,,application/pdf,pdf,pdf,Mining,,/objects/small/soehl_1993_impact_assessment_of_metal_mines_in_bc_a_manuscript_report_prepared_for_cearc_en107_3_136_1993_eng_sm.jpg,/objects/thumbs/soehl_1993_impact_assessment_of_metal_mines_in_bc_a_manuscript_report_prepared_for_cearc_en107_3_136_1993_eng_th.jpg,
,,,,,,,,,,,,,,,
hume_2016_the_rebirth_of_bc's_jordan_river_is_a_victory_of_biological_activism_globe_and_mail,jr-np-m-recent_001,/objects/hume_2016_the_rebirth_of_bc's_jordan_river_is_a_victory_of_biological_activism_globe_and_mail.pdf,The rebirth of B.C.’s Jordan River is a victory for biological activism,Mark Hume,The Globe and Mail,2016-10-17,,application/pdf,Article,pdf,Salmon; Mining; Restoration; Logging; Hydroelectric; Activism; Ecology,,/objects/small/hume_2016_the_rebirth_of_bc's_jordan_river_is_a_victory_of_biological_activism_globe_and_mail_sm.jpg,/objects/thumbs/hume_2016_the_rebirth_of_bc's_jordan_river_is_a_victory_of_biological_activism_globe_and_mail_th.jpg,
smart_2016_jordan_river_surfing_area_to_be_tested_for_pollutiontimes_colonist,jr-np-m-recent_002,/objects/smart_2016_jordan_river_surfing_area_to_be_tested_for_pollutiontimes_colonist.pdf,Jordan River surfing area to be tested for pollution,Amy Smart,Times Colonist,2016-10-19,,application/pdf,Article,pdf,Surfing; Pollution; Contamination; Mining,,/objects/small/smart_2016_jordan_river_surfing_area_to_be_tested_for_pollutiontimes_colonist_sm.jpg,/objects/thumbs/smart_2016_jordan_river_surfing_area_to_be_tested_for_pollutiontimes_colonist_th.jpg,
steve_hume_2013_provincial_failures_on_mining_pollution_leaving_taxpayers_on_the_hook_vancouver_sun,jr-np-m-recent_003,/objects/steve_hume_2013_provincial_failures_on_mining_pollution_leaving_taxpayers_on_the_hook_vancouver_sun.pdf,Provincial failures on mining pollution leaving taxpayers on the hook,Stephen Hume,Vancouver Sun,2016-10-16,,application/pdf,Article,pdf,Mining; Salmon; Pollution; Contamination,,/objects/small/steve_hume_2013_provincial_failures_on_mining_pollution_leaving_taxpayers_on_the_hook_vancouver_sun_sm.jpg,/objects/thumbs/steve_hume_2013_provincial_failures_on_mining_pollution_leaving_taxpayers_on_the_hook_vancouver_sun_th.jpg,
"sunro_october_8_2016, Vancouer Sun,  B.C. mines ministry investigating pollution from old Vancouver Island mine",jr-np-m-recent_004,/objects/sunro_october_8_2016_times_colonist_ministry_doesn’t_know_why_contaminated_site_was_deemed_clean.pdf,B.C. mines ministry investigating pollution from old Vancouver Island mine,Amy Smart,Vancouver Sun,2016-10-08,,application/pdf,Article,pdf,Mining; Pollution; Contamination; Teck,,"/objects/small/sunro_october_8_2016, Vancouer Sun,  B.C. mines ministry investigating pollution from old Vancouver Island mine_sm.jpg","/objects/thumbs/sunro_october_8_2016, Vancouer Sun,  B.C. mines ministry investigating pollution from old Vancouver Island mine_th.jpg",
sunro_october_8_2016_times_colonist_ministry_doesn’t_know_why_contaminated_site_was_deemed_clean,jr-np-m-recent_005,"/objects/sunro_october_8_2016, Vancouer Sun,  B.C. mines ministry investigating pollution from old Vancouver Island mine.pdf",Ministry doesn't know why contaminated site was deemed clean,Amy Smart,Times Colonist,2016-10-08,,application/pdf,Article,pdf,Mining; Pollution; Contamination; Ministry of Energy; Map,,/objects/small/sunro_october_8_2016_times_colonist_ministry_doesn’t_know_why_contaminated_site_was_deemed_clean_sm.jpg,/objects/thumbs/sunro_october_8_2016_times_colonist_ministry_doesn’t_know_why_contaminated_site_was_deemed_clean_th.jpg,
sunro_october_11_2016_times_colonist_editorial_province_should_clean_up_mine_sites,jr-np-m-recent_006,/objects/sunro_october_11_2016_times_colonist_editorial_province_should_clean_up_mine_sites.pdf,Editorial: Province should clean up mine sites,Victoria Times-Colonist Staff,Times Colonist ,2016-10-11,,application/pdf,pdf,pdf,Mining; Metal Leaching ,,/objects/small/sunro_october_11_2016_times_colonist_editorial_province_should_clean_up_mine_sites_sm.jpg,/objects/thumbs/sunro_october_11_2016_times_colonist_editorial_province_should_clean_up_mine_sites_th.jpg,
sunro_october_17_2016_vancouver_sun_bc's_failure_on_mining_pollution,jr-np-m-recent_007,/objects/sunro_october_17_2016_vancouver_sun_bc's_failure_on_mining_pollution.pdf,B.C.'s failure on mining pollution leaving taxpayers on the hook,Stephen Hume,The Vancouver Sun,2016-10-17,,application/pdf,pdf,pdf,Mining; Pollution; Contamination; Ministry of Energy; Taxpayers,,/objects/small/sunro_october_17_2016_vancouver_sun_bc's_failure_on_mining_pollution_sm.jpg,/objects/thumbs/sunro_october_17_2016_vancouver_sun_bc's_failure_on_mining_pollution_th.jpg,
the_vancouver_sun_2016_10_05_8,jr-np-m-recent_008,/objects/the_vancouver_sun_2016_10_05_8.pdf,Copper Mine Tailings poison the Jordan River,Stephen Hume,The Vancouver Sun,2016-10-05,,application/pdf,pdf,pdf,Mining; Salmon; Metal Leaching; ,,/objects/small/the_vancouver_sun_2016_10_05_8_sm.jpg,/objects/thumbs/the_vancouver_sun_2016_10_05_8_th.jpg,
the_vancouver_sun_2017_03_11_94,jr-np-m-recent_010,/objects/the_vancouver_sun_2017_03_11_94.pdf,A Sense of Excitement,The Vancouver Sun,The Vancouver Sun,2017-03-11,,application/pdf,pdf,pdf,Mining; Hydroelectric; Logging; History,,/objects/small/the_vancouver_sun_2017_03_11_94_sm.jpg,/objects/thumbs/the_vancouver_sun_2017_03_11_94_th.jpg,
,,,,,,,,,,,,,,,
opssra_newsletter_2015_did_you_know_that_history_of_svi_logging,jr-np-l_001,/objects/opssra_newsletter_2015_did_you_know_that_history_of_svi_logging.pdf,"OPSRRA’S OTTER POINT, SHIRLEY & JORDAN RIVER
NEWSLETTER",OPSRRA,OPSRRA,2015-05,yes,application/pdf,newsletter,pdf,Dumping; Logging; Historical Review,Section 9 - Details about logging history,/objects/small/opssra_newsletter_2015_did_you_know_that_history_of_svi_logging_sm.jpg,/objects/thumbs/opssra_newsletter_2015_did_you_know_that_history_of_svi_logging_th.jpg,
times_colonist_1980_08_15_8_bc_forest_trio_buying_up_rayonier_canada,jr-np-l_002,/objects/times_colonist_1980_08_15_8_bc_forest_trio_buying_up_rayonier_canada.pdf,B.C. Forest Trio buying up Radonier Canada Assets,Times Colonist,Times Colonist,1980-08-15,,application/pdf,news article,pdf,Logging; B.C Forest Products; Rayonier Canada; ITT Industries Canada,,/objects/small/times_colonist_1980_08_15_8_bc_forest_trio_buying_up_rayonier_canada_sm.jpg,/objects/thumbs/times_colonist_1980_08_15_8_bc_forest_trio_buying_up_rayonier_canada_th.jpg,
times_colonist_1983_point_no_point_rail,jr-np-l_003,/objects/times_colonist_1983_point_no_point_rail.pdf,Point No Point and its Railway,Patrick Hind,Times Colonist,1983-02-20,,application/pdf,news article,pdf,Logging; island logging company; log boom,,/objects/small/times_colonist_1983_point_no_point_rail_sm.jpg,/objects/thumbs/times_colonist_1983_point_no_point_rail_th.jpg,
1961_coastnews_12_1_handover_of_jr_water_power_from_bce_to_bch,jr-np-l_004,/objects/1961_coastnews_12_1_handover_of_jr_water_power_from_bce_to_bch.pdf,BCE  change-over for New Year's Eve,Coast News ,Coast News ,1961-12-21,,application/pdf,news article,pdf,Logging,,/objects/small/1961_coastnews_12_1_handover_of_jr_water_power_from_bce_to_bch_sm.jpg,/objects/thumbs/1961_coastnews_12_1_handover_of_jr_water_power_from_bce_to_bch_th.jpg,
1908_bndry_p2col4_9_32kacressold_us_by_jr_lumber,jr-np-l-1900-1920_001,/objects/1908_bndry_p2col4_9_32kacressold_us_by_jr_lumber.pdf,"The Jordan River Lumber Company, of Vancouver Island, has disposed of 32.000 acres of timber to Michigan and Seattle capitalists for a million dollars.'",Boundary Creek Times,Boundary Creek Times,1909-04-02,,application/pdf,news article,pdf,Logging; The Jordan River Lumber Company,"The Jordan River Lumber Company, of Vancouver Island, has disposed of 32.000 acres of timber to Michigan and Seattle capitalists for a million dollars.'
",/objects/small/1908_bndry_p2col4_9_32kacressold_us_by_jr_lumber_sm.jpg,/objects/thumbs/1908_bndry_p2col4_9_32kacressold_us_by_jr_lumber_th.jpg,
1908_wkly_p7col9certificate_of_regjrlumber,jr-np-l-1900-1920_002,/objects/1908_wkly_p7col9certificate_of_regjrlumber.pdf,CERTIFICATE OF THE REGISTRATION OF AN EXTRA-PROVINCIAL COMPANY,The Week,The Week,1908-12-07,,application/pdf,news article,pdf,Logging; The Jordan River Lumber Company,,/objects/small/1908_wkly_p7col9certificate_of_regjrlumber_sm.jpg,/objects/thumbs/1908_wkly_p7col9certificate_of_regjrlumber_th.jpg,
1909_crnbrk_1_5_lumber_dvelopents_transactions,jr-np-l-1900-1920_003,/objects/1909_crnbrk_1_5_lumber_dvelopents_transactions.pdf,"W. R. Welch and B. T. Lyons, of Now York, who recently bought the limits of the Jordan River Timber company",The Cranbrook Herald,The Cranbrook Herald,1909-04-08,,application/pdf,news article,pdf,Loggin; The Jordan River Lumber Company,,/objects/small/1909_crnbrk_1_5_lumber_dvelopents_transactions_sm.jpg,/objects/thumbs/1909_crnbrk_1_5_lumber_dvelopents_transactions_th.jpg,
1909_nlsn_timberlandsold_jr180k6_1,jr-np-l-1900-1920_004,/objects/1909_nlsn_timberlandsold_jr180k6_1.pdf,News of the Dominion,The Daily News,The Daily News,1909-04-08,,application/pdf,news article,pdf,Logging,,/objects/small/1909_nlsn_timberlandsold_jr180k6_1_sm.jpg,/objects/thumbs/1909_nlsn_timberlandsold_jr180k6_1_th.jpg,
1910_bc_timber_profitable_3_1,jr-np-l-1900-1920_005,/objects/1910_bc_timber_profitable_3_1.pdf,B.C. Timber Profitable,The Mail-Herald,The Mail-Herald,1910-12-14,,application/pdf,news article,pdf,Logging,,/objects/small/1910_bc_timber_profitable_3_1_sm.jpg,/objects/thumbs/1910_bc_timber_profitable_3_1_th.jpg,
1916_nelsondaily_6_2_feature_article_on_tracts_of_land_for_loggin,jr-np-l-1900-1920_006,/objects/1916_nelsondaily_6_2_feature_article_on_tracts_of_land_for_loggin.pdf,"Grants Allowed on Surveyors' Reports: Committee Hears Statement Concerning Tracts of Land on Jordan River, Vancouver. Island.",The Daily News,The Daily News,1916-05-04,,application/pdf,news article,pdf,Logging; Land Grants,,/objects/small/1916_nelsondaily_6_2_feature_article_on_tracts_of_land_for_loggin_sm.jpg,/objects/thumbs/1916_nelsondaily_6_2_feature_article_on_tracts_of_land_for_loggin_th.jpg,
"1918_bcrecord_750,000_4_2_timber_license_deal",jr-np-l-1900-1920_007,"/objects/1918_bcrecord_750,000_4_2_timber_license_deal.pdf",Big Island Timber Deal is Under Way ,British Columbia Record,British Columbia Record,1918-05-17,,application/pdf,news article,pdf,Logging,,"/objects/small/1918_bcrecord_750,000_4_2_timber_license_deal_sm.jpg","/objects/thumbs/1918_bcrecord_750,000_4_2_timber_license_deal_th.jpg",
the_week_1914_water_notice_clearing_streams,jr-np-l-1900-1920_008,/objects/the_week_1914_water_notice_clearing_streams.pdf,Water Notice: Clearing-Streams,The Week,The Week,1914-10-03,,application/pdf,news article,pdf,Logging,,/objects/small/the_week_1914_water_notice_clearing_streams_sm.jpg,/objects/thumbs/the_week_1914_water_notice_clearing_streams_th.jpg,
vdt_1909_jr_million_dollar_lumber_deal,jr-np-l-1900-1920_009,/objects/vdt_1909_jr_million_dollar_lumber_deal.pdf,Million Dollar Lumber Deal: Americans Purchase Jordan River Limits,The Victoria Daily Times,The Victoria Daily Times,1909-03-16,,application/pdf,news article,pdf,Logging,,/objects/small/vdt_1909_jr_million_dollar_lumber_deal_sm.jpg,/objects/thumbs/vdt_1909_jr_million_dollar_lumber_deal_th.jpg,
,,,,,,,,,,,,,/objects/small/_sm.jpg,/objects/thumbs/_th.jpg,
1928_nelsondaily_2_2_chinese drowneed_in_boom_at_jr,jr-np-l-1921-1960_001,/objects/1928_nelsondaily_2_2_chinese drowneed_in_boom_at_jr.pdf,Drowns in Boom,The Daily News,The Daily News,1928-07-16,,application/pdf,news article,pdf,Drowning; Logging; Booming,,/objects/small/1928_nelsondaily_2_2_chinese drowneed_in_boom_at_jr_sm.jpg,/objects/thumbs/1928_nelsondaily_2_2_chinese drowneed_in_boom_at_jr_th.jpg,
1928_nelsondaily_2_5_logger_find_huge_whale_fossils,jr-np-l-1921-1960_002,/objects/1928_nelsondaily_2_5_logger_find_huge_whale_fossils.pdf,Hunt Whales off Vancouver Island,The Daily News,The Daily News,1928-08-31,,application/pdf,news article,pdf,Logging; Whale Hunting; History,,/objects/small/1928_nelsondaily_2_5_logger_find_huge_whale_fossils_sm.jpg,/objects/thumbs/1928_nelsondaily_2_5_logger_find_huge_whale_fossils_th.jpg,
1932_nelsondaily_1_3_somebody_died_in_JR_working_for_mulligan_lumber_company,jr-np-l-1921-1960_003,/objects/1932_nelsondaily_1_3_somebody_died_in_JR_working_for_mulligan_lumber_company.pdf,Falling Tree is Cause of Death,Nelson Daily News,Nelson Daily News,1932-04-17,,application/pdf,news article,pdf,Logging; Casualty,,/objects/small/1932_nelsondaily_1_3_somebody_died_in_JR_working_for_mulligan_lumber_company_sm.jpg,/objects/thumbs/1932_nelsondaily_1_3_somebody_died_in_JR_working_for_mulligan_lumber_company_th.jpg,
1937_nelsondaily_1_7_timber_license_auctioned_in_jordan_river,jr-np-l-1921-1960_004,/objects/1937_nelsondaily_1_7_timber_license_auctioned_in_jordan_river.pdf,Timber Licence Offered in Slocan,Nelson Daily News,Nelson Daily News,1937-03-30,,application/pdf,news article,pdf,Logging,,/objects/small/1937_nelsondaily_1_7_timber_license_auctioned_in_jordan_river_sm.jpg,/objects/thumbs/1937_nelsondaily_1_7_timber_license_auctioned_in_jordan_river_th.jpg,
1960_coast_news_4_1_story_of_logger_useful_as_it_offers_the_companies_they_worked_for_in_early_days,jr-np-l-1921-1960_005,/objects/1960_coast_news_4_1_story_of_logger_useful_as_it_offers_the_companies_they_worked_for_in_early_days.pdf,Robert Burns,,Coast News,1960-01-21,,application/pdf,news article,pdf,Logging,,/objects/small/1960_coast_news_4_1_story_of_logger_useful_as_it_offers_the_companies_they_worked_for_in_early_days_sm.jpg,/objects/thumbs/1960_coast_news_4_1_story_of_logger_useful_as_it_offers_the_companies_they_worked_for_in_early_days_th.jpg,
,,,,,,,,,,,,,,,
